,Date,Open,High,Low,Close,Adj Close,Volume
203,2021-09-29,779.799988,793.5,770.679993,781.309998,781.309998,20942900
204,2021-09-30,781.0,789.130005,775.0,775.47998,775.47998,17956000
205,2021-10-01,778.400024,780.780029,763.590027,775.219971,775.219971,17031400
206,2021-10-04,796.5,806.969971,776.119995,781.530029,781.530029,30483300
207,2021-10-05,784.799988,797.309998,774.200012,780.590027,780.590027,18432600
208,2021-10-06,776.200012,786.659973,773.219971,782.75,782.75,14632800
209,2021-10-07,785.460022,805.0,783.380005,793.609985,793.609985,19195800
210,2021-10-08,796.210022,796.380005,780.909973,785.48999,785.48999,16711100
211,2021-10-11,787.650024,801.23999,785.5,791.940002,791.940002,14200300
212,2021-10-12,800.929993,812.320007,796.570007,805.719971,805.719971,22020000
213,2021-10-13,810.469971,815.409973,805.780029,811.080017,811.080017,14120100
214,2021-10-14,815.48999,820.25,813.349976,818.320007,818.320007,12247200
215,2021-10-15,823.73999,843.210022,822.349976,843.030029,843.030029,18818000
216,2021-10-18,851.789978,875.26001,851.469971,870.109985,870.109985,24207200
217,2021-10-19,877.530029,877.950012,862.51001,864.27002,864.27002,17381100
218,2021-10-20,865.349976,869.48999,857.380005,865.799988,865.799988,14032100
219,2021-10-21,856.0,900.0,855.5,894.0,894.0,31481500
220,2021-10-22,895.5,910.0,890.960022,909.679993,909.679993,22880800
221,2021-10-25,950.530029,1045.02002,944.200012,1024.859985,1024.859985,62852100
222,2021-10-26,1024.689941,1094.939941,1001.440002,1018.429993,1018.429993,62415000
223,2021-10-27,1039.660034,1070.880005,1030.780029,1037.859985,1037.859985,38526500
224,2021-10-28,1068.310059,1081.0,1054.199951,1077.040039,1077.040039,27213200
225,2021-10-29,1081.859985,1115.209961,1073.209961,1114.0,1114.0,29918400
226,2021-11-01,1145.0,1209.75,1118.660034,1208.589966,1208.589966,56048700
227,2021-11-02,1159.359985,1208.589966,1146.0,1172.0,1172.0,42737800
228,2021-11-03,1177.329956,1215.390015,1152.619995,1213.859985,1213.859985,34628500
229,2021-11-04,1234.410034,1243.48999,1217.0,1229.910034,1229.910034,25397400
230,2021-11-05,1228.0,1239.869995,1208.0,1222.089966,1222.089966,21579900
231,2021-11-08,1149.790039,1197.0,1133.0,1162.939941,1162.939941,33445700
232,2021-11-09,1173.599976,1174.5,1011.52002,1023.5,1023.5,59105800
233,2021-11-10,1010.409973,1078.099976,987.309998,1067.949951,1067.949951,42802700
234,2021-11-11,1102.77002,1104.969971,1054.680054,1063.51001,1063.51001,22396600
235,2021-11-12,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25182300
236,2021-11-15,1017.630005,1031.97998,978.599976,1013.390015,1013.390015,34775600
237,2021-11-16,1003.309998,1057.199951,1002.179993,1054.72998,1054.72998,26542400
238,2021-11-17,1063.51001,1119.640015,1055.5,1089.01001,1089.01001,31445400
239,2021-11-18,1106.550049,1112.0,1075.02002,1096.380005,1096.380005,20898900
240,2021-11-19,1098.869995,1138.719971,1092.699951,1137.060059,1137.060059,21642300
241,2021-11-22,1162.329956,1201.949951,1132.430054,1156.869995,1156.869995,33072500
242,2021-11-23,1167.51001,1180.5,1062.699951,1109.030029,1109.030029,36171700
